alpha,gamma_exp,M_0,rho_max,n_mob,ic_mode,rho_mean_ic,noise_amplitude,eta,n_steps,lambda_1,lambda_1_r2,G0_fit,lambda_2,total_rho_change_pct,scale_factor_ratio,basins_initial,basins_final,basins_max,basins_grew,horizon_frac,rho_final_max,rho_final_min,rho_final_std,lap_pos_frac,lap_mean,lap_std,w_eff,has_inflation,has_structure_formation,has_residual_gradient,has_thinning,has_heat_death,phase_sequence,error,rho_mean,N,cfl_safety,seed
1.2,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,6.6666666666666675e-06,20000,0.4281706870615128,0.9999680670862438,0.270650776237041,1.1899169900770186,-0.021432187883391116,1.0573443603114325,82,81,82,False,0.0,51.39366912802162,48.972065375837126,0.443222815958546,0.546875,0.0,0.9434259450806071,-0.9986416409059957,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
1.4,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,5.714285714285715e-06,20000,0.42902217269252296,0.9999651748958063,0.27066109813224726,1.3824605768881746,-0.021516398289418807,1.0490437956919756,82,81,82,False,0.0,51.400900211948915,48.964294309432006,0.4467403690265167,0.546875,0.0,0.9578456557927394,-0.9984249734520337,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
1.7,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,4.705882352941177e-06,20000,0.43015333526723204,0.9999618217447549,0.27067287646981414,1.671507980146614,-0.021608323554652295,1.0403056119513334,82,81,82,False,0.0,51.40863246485827,48.955927748325806,0.45053460004068335,0.546875,0.0,0.9733904901623356,-0.9981006717816172,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
2.0,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,4.000000000000001e-06,20000,0.43118029969819033,0.9999608302581934,0.270682002735283,1.960717654065404,-0.02167441212702126,1.034219828638256,82,82,82,False,0.0,51.41409198610356,48.94998498592297,0.45323405740230965,0.546875,0.0,0.9844442116668696,-0.9977773503572915,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.6,1.0,100.0,2,uniform_noise,50.0,0.5,0.0006666666666666664,20000,0.13432918022569457,0.9195613101273912,0.17420458264408165,3.586374431640297,-0.32274061292149375,7.16620823292795,82,20,82,False,0.0,50.14539489116763,49.43082720773206,0.1444043693171902,0.53125,0.0,0.023661086904416255,-0.9869503105060564,True,False,True,False,False,transition -> inflation -> residual_gradient,,50.0,256,0.4,42
0.2,0.6,1.0,100.0,2,uniform_noise,50.0,0.5,0.0003333333333333332,20000,0.21556421572451484,0.9632393100142095,0.22172378512084334,2.7611001549116523,-0.3227898076728246,4.31565790795755,82,29,82,False,0.0,50.378499747719694,49.313790579147195,0.18437595033150234,0.51953125,0.0,0.0579260092103242,-0.9937393357653973,True,False,True,False,False,transition -> inflation -> residual_gradient,,50.0,256,0.4,42
0.4,0.6,1.0,100.0,2,uniform_noise,50.0,0.5,0.0001666666666666666,20000,0.3009997108945232,0.9882389512640574,0.2525909621781885,2.422454982177693,-0.3229367162084676,2.683015057160092,82,40,82,False,0.0,50.594526847288506,49.21019091634646,0.23232013946721608,0.5,0.0,0.14121403230026114,-0.9960662698773717,True,False,True,False,False,transition -> inflation -> residual_gradient,,50.0,256,0.4,42
0.6,0.6,1.0,100.0,2,uniform_noise,50.0,0.5,0.00011111111111111108,20000,0.34222430800045184,0.9947298759719084,0.26185169220819987,2.5041531817285723,-0.3231305880980046,2.103348806362807,82,47,82,False,0.0,50.726609788501975,49.16565355908824,0.26450024830340485,0.54296875,0.0,0.23315974992052477,-0.9964234445407069,True,False,True,False,False,transition -> inflation -> residual_gradient,,50.0,256,0.4,42
0.8,0.6,1.0,100.0,2,uniform_noise,50.0,0.5,8.33333333333333e-05,20000,0.36550343897068976,0.9970493644225076,0.2656271831901039,2.711745957063088,-0.3233459816494629,1.8102419189081682,82,60,82,False,0.0,50.82308581375637,49.143301249652595,0.28905569105335244,0.5390625,0.0,0.3189918026588018,-0.9963736270996216,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
1.0,0.6,1.0,100.0,2,uniform_noise,50.0,0.5,6.666666666666663e-05,20000,0.3808616277287623,0.9983674791904827,0.26758053330991804,2.973499388829619,-0.32356124103769673,1.638363607585605,82,62,82,False,0.0,50.89160094666485,49.12706134770963,0.3086244456592276,0.53515625,0.0,0.3933529653288919,-0.9961839367744304,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
